date,school,community,inschool
2021-08-19,"102ND ST EEC",0,0
2021-08-19,"107TH ST CSPP",0,0
2021-08-19,"107TH ST EL STEAM MAG",0,0
2021-08-19,"107TH ST EL",2,0
2021-08-19,"109TH ST EL",0,0
2021-08-19,"10TH ST EL",1,0
2021-08-19,"112TH ST EEC",0,0
2021-08-19,"112TH ST EL",0,0
2021-08-19,"116TH ST EL DTS",0,0
2021-08-19,"116TH ST EL",2,0
2021-08-19,"118TH ST EL DTS",0,0
2021-08-19,"118TH ST EL",2,0
2021-08-19,"122ND ST EL DTS",0,0
2021-08-19,"122ND ST EL",2,0
2021-08-19,"135TH ST EL DTS",0,0
2021-08-19,"135TH ST EL",1,0
2021-08-19,"153RD ST EL DTS",0,0
2021-08-19,"153RD ST EL",1,0
2021-08-19,"156TH ST EL",5,0
2021-08-19,"15TH ST EL",2,0
2021-08-19,"186TH ST CSPP",0,0
2021-08-19,"186TH ST EL",2,0
2021-08-19,"1ST ST EL",1,0
2021-08-19,"1ST ST SPS",0,0
2021-08-19,"20TH ST EL DTS",0,0
2021-08-19,"20TH ST EL",0,0
2021-08-19,"232ND PL EL",1,0
2021-08-19,"232ND PL STEMM MAG",0,0
2021-08-19,"24TH ST EEC",0,0
2021-08-19,"24TH ST EL",0,0
2021-08-19,"28TH ST EEC",0,0
2021-08-19,"28TH ST EL DOS",0,0
2021-08-19,"28TH ST EL",1,0
2021-08-19,"2ND ST EL DTS",0,0
2021-08-19,"2ND ST EL",1,0
2021-08-19,"32ND ST USC PA MAG",0,0
2021-08-19,"36TH ST EEC",0,0
2021-08-19,"37TH ST EEC",0,0
2021-08-19,"3RD ST EL DTK",0,0
2021-08-19,"3RD ST EL GIFTED MAG",0,0
2021-08-19,"3RD ST EL",0,0
2021-08-19,"42ND ST EL DWS",0,0
2021-08-19,"42ND ST EL",2,0
2021-08-19,"49TH ST EL",0,0
2021-08-19,"4TH ST EEC",0,0
2021-08-19,"4TH ST EL",2,0
2021-08-19,"4TH ST PC DTS",0,0
2021-08-19,"4TH ST PC",0,0
2021-08-19,"52ND ST EL",0,0
2021-08-19,"54TH ST EL",0,0
2021-08-19,"59TH ST EL",0,0
2021-08-19,"61ST ST CSPP",0,0
2021-08-19,"61ST ST EL DTS",0,0
2021-08-19,"61ST ST EL",0,0
2021-08-19,"66TH ST EEC",0,0
2021-08-19,"66TH ST EL",0,0
2021-08-19,"6TH AVE EL DTS",0,0
2021-08-19,"6TH AVE EL",3,0
2021-08-19,"74TH ST EL GIFTED MG",0,0
2021-08-19,"74TH ST EL",2,0
2021-08-19,"75TH ST EEC",0,0
2021-08-19,"75TH ST EL DTS",0,0
2021-08-19,"75TH ST EL",4,0
2021-08-19,"7TH ST EL AI MAG",0,0
2021-08-19,"92ND ST EL",3,0
2021-08-19,"93RD ST EL DTS",0,0
2021-08-19,"93RD ST EL STEAM MAG",0,0
2021-08-19,"93RD ST EL",0,0
2021-08-19,"95TH ST EEC",0,0
2021-08-19,"95TH ST EL",1,0
2021-08-19,"96TH ST EL DTS",0,0
2021-08-19,"96TH ST EL",0,0
2021-08-19,"97TH ST EEC",0,0
2021-08-19,"99TH ST CSPP",0,0
2021-08-19,"99TH ST EL",4,0
2021-08-19,"9TH ST EL",1,0
2021-08-19,"ACAD ENRICH SCI MAG",0,0
2021-08-19,"ADAMS MS GIFTED MAG",0,0
2021-08-19,"ADAMS MS",0,0
2021-08-19,"ADDAMS HS",1,0
2021-08-19,"AGGELER HS",0,0
2021-08-19,"ALBION ST EEC",0,0
2021-08-19,"ALBION ST EL",1,0
2021-08-19,"ALDAMA EL DTS",0,0
2021-08-19,"ALDAMA EL",0,0
2021-08-19,"ALEXANDER SCS DTS",1,0
2021-08-19,"ALEXANDER SCS",0,0
2021-08-19,"ALEXANDRIA AV EL DTS",0,0
2021-08-19,"ALEXANDRIA AVE EEC",0,0
2021-08-19,"ALEXANDRIA AVE EL",3,0
2021-08-19,"ALLESANDRO EL CL MAG",1,0
2021-08-19,"ALLESANDRO EL",2,0
2021-08-19,"ALLESANDRO SPS",0,0
2021-08-19,"ALTA CAL GSTEAM MAG",0,0
2021-08-19,"ALTA CALIFORNIA EL",0,0
2021-08-19,"ALTA LOMA EL DTS",1,0
2021-08-19,"ALTA LOMA EL",0,0
2021-08-19,"AMANECER PC",0,0
2021-08-19,"AMBLER AV GIFTED MAG",0,0
2021-08-19,"AMBLER AVE EL DTS",0,0
2021-08-19,"AMBLER AVE EL",2,0
2021-08-19,"AMESTOY EL ML/MC MAG",0,0
2021-08-19,"AMESTOY EL",2,0
2021-08-19,"AMESTOY SPS",0,0
2021-08-19,"ANATOLA AVE EL",2,0
2021-08-19,"ANDASOL AVE EL",0,0
2021-08-19,"ANDASOL AVE SPS",0,0
2021-08-19,"ANGEL'S GATE HS",0,0
2021-08-19,"ANGELES MESA EL",0,0
2021-08-19,"ANGELES MSA DREAMS MG",1,0
2021-08-19,"ANGELOU COMMUNITY SH",2,0
2021-08-19,"ANN ST EL",0,0
