name,enrolled,community
102ND ST EEC,,Fremont
107TH ST EL,882,Fremont
109TH ST EL,366,Achievement Network
10TH ST EL,472,MacArthur Park
112TH ST EEC,,Achievement Network
112TH ST EL,384,Achievement Network
116TH ST EL,423,Achievement Network
118TH ST EL,534,Fremont
122ND ST EL,654,Fremont
135TH ST EL,649,Gardena
153RD ST EL,407,Gardena
156TH ST EL,378,Gardena
15TH ST EL,449,San Pedro
186TH ST EL,719,Gardena
1ST ST EL,463,Boyle Heights
20TH ST EL,592,Jefferson/South Central (West)
232ND PL EL,420,Carson
24TH ST EEC,,Manual Arts/Vermont Square
24TH ST EL,544,Manual Arts/Vermont Square
28TH ST EEC,,Jefferson/South Central (West)
28TH ST EL,601,Jefferson/South Central (West)
2ND ST EL,237,Boyle Heights
32ND ST USC PA MAG,1006,Manual Arts/Vermont Square
36TH ST EEC,,LA Mid-City
37TH ST EEC,,Manual Arts/Vermont Square
3RD ST EL,656,Fairfax
42ND ST EL,202,H.E.E.T. (C/D)
49TH ST EL,663,Historic Central Avenue
4TH ST EEC,,East Los Angeles
4TH ST EL,358,East Los Angeles
4TH ST PC - IND. CHARTER,,East Los Angeles
52ND ST EL,708,South Mid-City
54TH ST EL,304,LA Mid-City
59TH ST EL,240,H.E.E.T. (C/D)
61ST ST EL,680,South Mid-City
66TH ST EEC,,Rivera
66TH ST EL,782,Rivera
6TH AVE EL,430,LA Mid-City
74TH ST EL,426,H.E.E.T. (C/D)
75TH ST EEC,,Fremont
75TH ST EL,997,Fremont
7TH ST EL AI MAG,344,San Pedro
92ND ST EL,775,Achievement Network
93RD ST EL,960,Fremont
95TH ST EEC,,H.E.E.T. (W)
95TH ST EL,892,H.E.E.T. (W)
96TH ST EL,686,Achievement Network
97TH ST EEC,,Fremont
99TH ST EL,537,Gardena
9TH ST EL,252,Jefferson/South Central (West)
ACAD ENRICH SCI MAG,307,Reseda
ADAMS MS,844,Jefferson/South Central (West)
ADDAMS HS,155,Kennedy/NAHS/VAAS
AGGELER HS,117,Canoga Park/Chatsworth
ALBION ST EEC,,Lincoln Heights/El Sereno
ALBION ST EL,180,Lincoln Heights/El Sereno
ALDAMA EL,427,Eagle Rock/Highland Park
ALEXANDER SCS,649,Manual Arts/Vermont Square
ALEXANDRIA AVE EEC,,Downtown
ALEXANDRIA AVE EL,544,Downtown
ALLESANDRO EL,355,Glassell Park/Los Feliz
ALTA CALIFORNIA EL,667,Monroe
ALTA LOMA EL,409,LA Mid-City
AMANECER PC,150,East Los Angeles
AMBLER AVE EL,560,Carson
AMESTOY EL,752,Gardena
ANATOLA AVE EL,362,Cleveland
ANDASOL AVE EL,438,Kennedy/NAHS/VAAS
ANGEL'S GATE HS,82,San Pedro
ANGELES MESA EL,333,LA Mid-City
ANGELOU COMMUNITY SH,1053,Historic Central Avenue
ANN ST EL,80,Lincoln Heights/El Sereno
ANNALEE AVE EL,229,Carson
ANNANDALE EL,143,Eagle Rock/Highland Park
ANTON EEC,,East Los Angeles
ANTON EL,534,East Los Angeles
APPERSON ST EL,415,Sunland/Tujunga
ARAGON AVE EL,224,Glassell Park/Los Feliz
ARLETA SH,1254,Sun Valley
ARLINGTON HTS EL,324,LA Mid-City
ARMINTA ST EEC,,Sun Valley
ARMINTA ST EL,405,Sun Valley
ARROYO SECO MUS/S MAG,491,Eagle Rock/Highland Park
ASCOT AVE EL,786,Historic Central Avenue
ATWATER AVE EL,324,Glassell Park/Los Feliz
AUDUBON MS,452,H.E.E.T. (C/D)
AURORA EL,376,Historic Central Avenue
AVALON GARDENS EL,180,Gardena
BACA ARTS ACAD - IND CHARTER,,Rivera
BAKEWELL PC,174,Fremont
BALA,634,South Mid-City
BALBOA EL G/HG/HA MAG,714,Kennedy/NAHS/VAAS
BALDWIN HILLS EL,436,Hamilton
BANCROFT MS,558,Hollywood
BANDINI ST EL,241,San Pedro
BANNEKER CTC,170,Gardena
BANNING SH,2502,Wilmington
BARRETT EL,736,Fremont
BARTON HILL EL,488,San Pedro
BASSETT ST EL,633,Reseda
BEACHY AVE EL,469,Sun Valley
BECKFORD CES,593,Canoga Park/Chatsworth
BEETHOVEN ST EL,357,Venice
BELL SH,2388,Bell/Cudahy/Maywood
BELLINGHAM EL,451,North Hollywood/Valley Village
BELMONT SH,725,Downtown
BELVEDERE EL,649,East Los Angeles
BELVEDERE MS,801,East Los Angeles
BERENDO MS,684,Kreatwn/PcoUnion
BERNSTEIN SH,709,Hollywood
BERNSTEIN SH STEM,604,Hollywood
BERTRAND AVE EL,357,Reseda
BETHUNE MS,999,Fremont
BIRM SH - Independent Charter,,
BLYTHE ST EL,324,Cleveland
BONITA ST EL,422,Carson
BOYLE HEIGHTS HS,57,Boyle Heights
BOYLE HTS STEM MAG,160,Boyle Heights
BRADDOCK DR EL,536,Venice
BRADLEY EEC,,Rivera
BRADLEY GLBL AWR MAG,209,H.E.E.T. (C/D)
BRAINARD EL,155,Sunland/Tujunga
BRAVO SH MEDICAL MAG,1758,Lincoln Heights/El Sereno
BREED ST EL,322,Boyle Heights
BRENTWOOD EL SCI MAG,356,West LA
BRIDGE ST EL,186,Boyle Heights
BRIDGES SCHOOL,1221,Wilmington
BRIGHT EL,444,LA Mid-City
BROAD AVE EL,548,Wilmington
BROADACRES AV EL,273,Carson
BROADOUS EEC,,San Fernando Valley/Sylmar
BROADOUS EL,444,San Fernando Valley/Sylmar
BROADWAY EL,575,Venice
BROCKTON AVE EL,206,West LA
BROOKLYN AVE EEC,,East Los Angeles
BROOKLYN AVE EL,501,East Los Angeles
BRYSON AVE EL,771,South Gate
BUCHANAN ST EL,303,Eagle Rock/Highland Park
BUDLONG AVE EL,767,South Mid-City
BURBANK BLVD EL,345,North Hollywood/Valley Village
BURBANK MS A/T/C MAG,1036,Eagle Rock/Highland Park
BURKE HS,151,Panorama City
BURROUGHS MS,1591,Fairfax
BURTON ST EL,312,Panorama City
BUSHNELL WAY EL,177,Eagle Rock/Highland Park
BYRD MS,1267,Sun Valley
CABRILLO AVE EEC,,San Pedro
CABRILLO AVE EL,347,San Pedro
