date,location,region,population,cases,casechange,caserate,deaths,deathrate
2022-04-29,City of Agoura Hills,SFV,20883,4272,4272,20457,22,105
2022-04-29,City of Alhambra,SGV,86725,17205,17205,19839,255,294
2022-04-29,City of Arcadia,SGV,57755,8256,8256,14295,166,287
2022-04-29,City of Artesia,E,16795,4212,4212,25079,88,524
2022-04-29,City of Avalon,SB,3869,63,63,1628,0,0
2022-04-29,City of Azusa,SGV,50039,13791,13791,27560,158,316
2022-04-29,City of Baldwin Park,SGV,76768,22972,22972,29924,389,507
2022-04-29,City of Bell Gardens,E,43071,14191,14191,32948,140,325
2022-04-29,City of Bell,E,36332,13910,13910,38286,142,391
2022-04-29,City of Bellflower,E,77734,23420,23420,30128,262,337
2022-04-29,City of Beverly Hills,W,34519,8553,8553,24777,44,127
2022-04-29,City of Bradbury,SGV,1069,66,66,6174,0,0
2022-04-29,City of Burbank,SFV,107179,22697,22697,21177,323,301
2022-04-29,City of Calabasas,SFV,24323,4074,4074,16750,38,156
2022-04-29,City of Carson,SB,93847,25758,25758,27447,322,343
2022-04-29,City of Cerritos,E,50068,8556,8556,17089,85,170
2022-04-29,City of Claremont,SGV,36485,7159,7159,19622,81,222
2022-04-29,City of Commerce,E,13069,4519,4519,34578,47,360
2022-04-29,City of Compton,S,99905,33191,33191,33223,325,325
2022-04-29,City of Covina,SGV,49032,14767,14767,30117,206,420
2022-04-29,City of Cudahy,E,24347,10058,10058,41311,80,329
2022-04-29,City of Culver City,W,39865,7603,7603,19072,134,336
2022-04-29,City of Diamond Bar,SGV,57515,9276,9276,16128,107,186
2022-04-29,City of Downey,E,114264,36147,36147,31635,379,332
2022-04-29,City of Duarte,SGV,22016,5211,5211,23669,120,545
2022-04-29,City of El Monte,SGV,117269,33190,33190,28302,528,450
2022-04-29,City of El Segundo,SB,16786,2853,2853,16996,14,83
2022-04-29,City of Gardena,E,61310,16359,16359,26682,267,435
2022-04-29,City of Glendale,SFV,206496,44888,44888,21738,875,424
2022-04-29,City of Glendora,SGV,52764,11896,11896,22546,245,464
2022-04-29,City of Hawaiian Gardens,E,14676,4184,4184,28509,30,204
2022-04-29,City of Hawthorne,SB,88787,22745,22745,25617,277,312
2022-04-29,City of Hermosa Beach,SB,19670,3387,3387,17219,12,61
