date,region,cases,caserate,death,deathrate,population
2020-03-19,E,0,0,0,0,0
2020-03-19,MLA,6,1.4,0,0.0,443455
2020-03-19,S,1,0.8,0,0.0,118531
2020-03-19,SB,1,0.8,0,0.0,128048
2020-03-19,SFV,6,0.8,0,0.0,710370
2020-03-19,SGV,2,1.3,0,0.0,150000
2020-03-19,W,5,2.2,0,0.0,229945
2020-03-20,E,3,0,0,0,0
2020-03-20,MLA,48,10.8,0,0.0,443455
2020-03-20,S,5,4.2,0,0.0,118531
2020-03-20,SB,9,7.0,0,0.0,128048
2020-03-20,SFV,50,7.0,0,0.0,710370
2020-03-20,SGV,4,2.7,0,0.0,150000
2020-03-20,W,40,17.4,0,0.0,229945
2020-03-21,AV,3,0,0,0,0
2020-03-21,E,9,0,0,0,0
2020-03-21,MLA,52,286.0,0,0.0,18182
2020-03-21,S,6,0,0,0,0
2020-03-21,SB,24,48.0,0,0.0,50000
2020-03-21,SFV,65,0,0,0,0
2020-03-21,SGV,18,12.0,0,0.0,150000
2020-03-21,W,62,186.0,0,0.0,33333
2020-03-22,AV,3,0,0,0,0
2020-03-22,E,9,0,0,0,0
2020-03-22,MLA,52,286.0,0,0.0,18182
2020-03-22,S,6,0,0,0,0
2020-03-22,SB,24,48.0,0,0.0,50000
2020-03-22,SFV,65,0,0,0,0
2020-03-22,SGV,18,12.0,0,0.0,150000
2020-03-22,W,62,186.0,0,0.0,33333
2020-03-24,AV,4,0,0,0,0
2020-03-24,E,15,0,0,0,0
2020-03-24,MLA,68,374.0,0,0.0,18182
2020-03-24,S,13,0,0,0,0
2020-03-24,SB,27,54.0,0,0.0,50000
2020-03-24,SFV,72,0,0,0,0
2020-03-24,SGV,23,15.3,0,0.0,150000
2020-03-24,W,77,231.0,0,0.0,33333
2020-03-25,AV,10,0,0,0,0
2020-03-25,E,24,0,0,0,0
2020-03-25,MLA,142,781.0,0,0.0,18182
2020-03-25,S,24,0,0,0,0
2020-03-25,SB,64,128.0,0,0.0,50000
2020-03-25,SFV,131,0,0,0,0
2020-03-25,SGV,38,25.3,0,0.0,150000
2020-03-25,W,135,405.0,0,0.0,33333
2020-03-26,AV,15,0,0,0,0
2020-03-26,E,39,0,0,0,0
2020-03-26,MLA,173,951.5,0,0.0,18182
2020-03-26,S,39,0,0,0,0
2020-03-26,SB,82,164.0,0,0.0,50000
2020-03-26,SFV,156,0,0,0,0
2020-03-26,SGV,45,30.0,0,0.0,150000
2020-03-26,W,153,459.0,0,0.0,33333
2020-03-27,AV,15,0,0,0,0
2020-03-27,E,49,0,0,0,0
2020-03-27,MLA,202,1111.0,0,0.0,18182
2020-03-27,S,47,0,0,0,0
2020-03-27,SB,120,240.0,0,0.0,50000
2020-03-27,SFV,172,0,0,0,0
2020-03-27,SGV,52,34.7,0,0.0,150000
2020-03-27,W,164,492.0,0,0.0,33333
2020-03-28,AV,40,10.0,0,0.0,401276
2020-03-28,E,144,11.2,0,0.0,1290253
2020-03-28,MLA,477,38.1,0,0.0,1252124
2020-03-28,S,133,13.0,0,0.0,1025647
2020-03-28,SB,279,26.7,0,0.0,1046669
2020-03-28,SFV,487,21.9,0,0.0,2220682
2020-03-28,SGV,138,7.5,0,0.0,1845611
