School name,Community,Community of Schools,Cases among students and staff
"102ND ST EEC","South Los Angeles/Watts Community","Fremont Community of Schools",0
"107TH ST CSPP","","",0
"107TH ST EL","","",2
"107TH ST EL STEAM MAG","","",0
"109TH ST EL","Watts/Green Meadows Community","Achievement Network Community of Schools",0
"10TH ST EL","MacArthur Park Community","MacArthur Park Community of Schools",2
"112TH ST EEC","Watts/Green Meadows Community","Achievement Network Community of Schools",0
"112TH ST EL","","",0
"116TH ST EL","","",4
"116TH ST EL DTS","","",0
"118TH ST EL","South Los Angeles/Watts Community","Fremont Community of Schools",3
"118TH ST EL DTS","","",0
"122ND ST EL","","",3
"122ND ST EL DTS","","",0
"135TH ST EL","Gardena Community","Gardena Community of Schools",1
"135TH ST EL DTS","","",0
"153RD ST EL","","",1
"153RD ST EL DTS","","",0
"156TH ST EL","","",5
"15TH ST EL","San Pedro Community","San Pedro Community of Schools",3
"186TH ST CSPP","Gardena Community","Gardena Community of Schools",0
"186TH ST EL","","",2
"1ST ST EL","Boyle Heights Community","Boyle Heights Community of Schools",1
"1ST ST SPS","","",0
"20TH ST EL","Jefferson/South Central (West) Community","Jefferson/South Central (West) Community of Schools",0
"20TH ST EL DTS","","",1
"232ND PL EL","Carson Community","Carson Community of Schools",3
"232ND PL STEMM MAG","","",0
"24TH ST EEC","Manual Arts/Vermont Square Community","Manual Arts/Vermont Square Community of Schools",0
"24TH ST EL","","",6
"28TH ST EEC","Jefferson/South Central (West) Community","Jefferson/South Central (West) Community of Schools",0
"28TH ST EL","","",1
"28TH ST EL DOS","","",0
"2ND ST EL","Boyle Heights Community","Boyle Heights Community of Schools",1
"2ND ST EL DTS","","",0
"32ND ST USC PA MAG","Manual Arts/Vermont Square Community","Manual Arts/Vermont Square Community of Schools",0
"36TH ST EEC","LA Mid-City Community","LA Mid-City Community of Schools",0
"37TH ST EEC","Manual Arts/Vermont Square Community","Manual Arts/Vermont Square Community of Schools",0
"3RD ST EL","Fairfax Community","Fairfax Community of Schools",0
"3RD ST EL DTK","","",0
"3RD ST EL GIFTED MAG","","",0
"42ND ST EL","Baldwin Hills/Leimert Park Community","H.E.E.T. (C/D) Community of Schools",2
