School name,Cases among students and staff
"Unassigned",64
"102ND ST EEC",1
"107TH ST EL",2
"109TH ST EL",3
"10TH ST EL",5
"112TH ST EEC",1
"112TH ST EL",3
"116TH ST EL",3
"118TH ST EL",2
"122ND ST EL",1
"135TH ST EL",0
"153RD ST EL",2
"156TH ST EL",2
"15TH ST EL",1
"186TH ST EL",4
"1ST ST EL",2
"20TH ST EL",2
"232ND PL EL",0
"24TH ST EEC",0
"24TH ST EL",5
"28TH ST EEC",0
"28TH ST EL",1
"2ND ST EL",1
"32ND ST USC PA MAG",4
"36TH ST EEC",0
"37TH ST EEC",0
"3RD ST EL",5
"42ND ST EL",3
"49TH ST EL",1
"4TH ST EEC",0
"4TH ST EL",0
"4TH ST PC",1
"52ND ST EL",4
"54TH ST EL",2
"59TH ST EL",2
"61ST ST EL",7
"66TH ST EEC",0
"66TH ST EL",3
"6TH AVE EL",2
"74TH ST EL",3
"75TH ST EEC",0
"75TH ST EL",3
"7TH ST EL AI MAG",1
"92ND ST EL",7
"93RD ST EL",2
"95TH ST EEC",0
"95TH ST EL",1
"96TH ST EL",0
"97TH ST EEC",0
"99TH ST EL",3
"9TH ST EL",0
"ACAD ENRICH SCI MAG",1
"ADAMS MS",0
"ADDAMS HS",0
"AGGELER HS",0
"ALBION ST EEC",0
"ALBION ST EL",1
"ALDAMA EL",5
"ALEXANDER SCS",5
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",3
"ALLESANDRO EL",1
"ALTA CALIFORNIA EL",5
"ALTA LOMA EL",3
"AMANECER PC",0
"AMBLER AVE EL",2
"AMESTOY EL",4
"ANATOLA AVE EL",1
"ANDASOL AVE EL",7
"ANGELES MESA EL",2
"ANGELOU COMMUNITY SH",7
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE EL",0
"ANNANDALE EL",0
"ANTON EEC",1
"ANTON EL",2
"APPERSON ST EL",3
"ARAGON AVE EL",0
"ARLETA SH",2
"ARLINGTON HTS EL",3
"ARMINTA ST EEC",1
"ARMINTA ST EL",0
"ARROYO SECO MUS/S MAG",1
"ASCOT AVE EL",2
"ATWATER AVE EL",2
"AUDUBON MS",4
"AURORA EL",1
"AVALON GARDENS EL",0
"BACA ARTS ACAD",2
"BAKEWELL PC",1
"BALA",0
"BALBOA EL G/HG/HA MAG",4
"BALDWIN HILLS EL",4
"BANCROFT MS",2
"BANDINI ST EL",0
"BANNEKER CTC",1
"BANNING SH",23
"BARRETT EL",4
"BARTON HILL EL",3
"BASSETT ST EL",3
"BEACHY AVE EL",0
"BECKFORD CES",2
"BEETHOVEN ST EL",0
"BELL SH",18
"BELLINGHAM EL",3
"BELMONT SH",2
"BELVEDERE EL",0
"BELVEDERE MS",2
"BERENDO MS",0
"BERNSTEIN SH",6
"BERNSTEIN SH STEM",5
"BERTRAND AVE EL",3
"BETHUNE MS",9
"BIRMINGHAM CHS",0
"BLYTHE ST EL",0
"BONITA ST EL",2
"BOYLE HEIGHTS HS",0
"BOYLE HTS STEM MAG",1
"BRADDOCK DR EL",5
"BRADLEY EEC",0
"BRADLEY GLBL AWR MAG",2
"BRAINARD EL",3
"BRAVO SH MEDICAL MAG",8
"BREED ST EL",0
"BRENTWOOD EL SCI MAG",2
"BRIDGE ST EL",2
"BRIDGES SCHOOL",4
"BRIGHT EL",0
"BROAD AVE EL",1
"BROADACRES AV EL",0
"BROADOUS EEC",1
"BROADOUS EL",1
"BROADWAY EL",2
"BROCKTON AVE EL",0
"BROOKLYN AVE EEC",0
"BROOKLYN AVE EL",2
"BRYSON AVE EL",6
"BUCHANAN ST EL",0
"BUDLONG AVE EL",6
"BURBANK BLVD EL",0
"BURBANK MS A/T/C MAG",2
"BURKE HS",0
"BURROUGHS MS",2
"BURTON ST EL",2
"BUSHNELL WAY EL",3
"BYRD MS",2
"CABRILLO AVE EEC",0
"CABRILLO AVE EL",5
"CAHUENGA EL",2
"CALABASH CA",4
"CALAHAN ST EL",0
"CALVERT CES",1
"CAMELLIA AVE EL",1
"CANFIELD AVE EL",0
"CANOGA PARK EEC",0
"CANOGA PARK EL",0
"CANOGA PRK SH",14
"CANTARA ST EL",5
"CANTERBURY AVE EL",7
"CANYON CEL",0
"CAPISTRANO AVE EL",2
"CARDENAS EL",1
"CARLSON HOSPITAL",0
"CARNEGIE MS",7
"CAROLDALE LC",1
"CARPENTER COMM CHTR",2
"CARSON ACAD ED & EMP",3
"CARSON ACAD MED ARTS",3
"CARSON SH",6
"CARSON ST EL",1
"CARSON-GORE ACADEMY",2
"CARTHAY EL ES MAG",0
"CARVER MS",3
"CASTELAR ST EEC",0
"CASTELAR ST EL",2
"CASTLE HTS EL",2
"CASTLEBAY LN CHTR",1
"CASTRO MS",0
"CATSKILL AVE EL",4
"CDS AGGELER",0
"CDS ALONZO",0
"CDS JOHNSON",0
"CDS JOHNSTON",0
"CDS LONDON",0
"CDS TRI-C",0
"CDS WEST HOLLYWOOD",0
"CENTRAL HS",2
"CENTURY PARK EL",1
"CHANDLER EL",1
"CHAPMAN EL",0
"CHARNOCK ROAD EL",0
"CHASE ST EEC",0
"CHASE ST EL",0
"CHATSWORTH CHS",8
"CHATSWORTH UP/CD MAG",0
"CHAVEZ EL",0
"CHAVEZ LA ARTES MAG",0
"CHAVEZ LA ASE",2
"CHAVEZ LA SJ HUM AC",2
"CHAVEZ LA TECH PREP",3
"CHEREMOYA AVE EL",0
"CHEVIOT HILLS HS",1
"CIENEGA EL",4
"CIMARRON AVE EL",0
"CITY OF ANGELS",10
"CITY TERRACE EL",0
"CLEVELAND CHS",13
"CLEVELAND EEC",0
"CLEVELAND INFANT CTR",0
"CLIFFORD ST M/T MAG",0
"CLINTON MS",3
"CLOVER AVE EL",1
"COCHRAN MS",1
"COEUR D ALENE AVE EL",1
"COHASSET ST EL",3
"COLDWATER CYN EL",1
"COLFAX CEL",2
"COLISEUM ST EL",1
"COLLINS EEC",1
"COLUMBUS AVE EL",2
"COLUMBUS MS",1
"COMMONWLTH AVE EL",1
"COMMUNITY EL MAG CS",5
"COMPTON AVE EL",0
"CONTRERAS LC ALC",2
"CONTRERAS LC BUS TR",3
"CONTRERAS LC GLBL ST",0
"CONTRERAS LC SOC JUS",8
"CORONA AVE EL",3
"CORTINES SCH OF VAPA",3
"COUGHLIN EL",2
"COWAN AVE EL",1
"CRENSHAW ARTS TECH",0
"CRENSHAW MAG STEMM",5
"CRESCENT HTS BL EEC",0
"CRESCENT HTS BL EL MG",1
"CRESTWOOD ST STEAM MG",4
"CRUZ EEC",0
"CURTISS MS",2
"DACOTAH EEC",0
"DAHLIA HTS EL",0
"DANA MS",4
"DANUBE AVE EL",0
"DARBY AVE EL",0
"DAYTON EEC",0
"DAYTON HEIGHTS EL",0
"DBM",1
"DE LA TORRE JR EL",4
"DEARBORN EL CA",4
"DEL AMO EL",1
"DEL OLMO EL",6
"DELEVAN DRIVE EL",0
"DENA EL",2
"DENKER AVE EL",2
"DIXIE CYN CC",4
"DODSON MS",11
"DOLORES ST EEC",1
"DOLORES ST EL",6
"DOMINGUEZ EL",4
"DORRIS PLACE EL",0
"DORSEY SH",4
"DREW MS",0
"DREW MS UP PBLC SRVC",2
"DYER ST EL",4
"DYMALLY SH",2
"EAGLE ROCK EL",3
"EAGLE ROCK HS",2
"EAGLE TREE CONTN HS",0
"EARHART HS",0
"EARLY COLLEGE ACAD",0
"EAST VALLEY SH",1
"EASTMAN AVE EEC",1
"EASTMAN AVE EL",0
"EDISON MS",2
"EINSTEIN HS",0
"EL DORADO AVE EL",4
"EL ORO WAY CES",3
"EL SERENO EEC",0
"EL SERENO EL",1
"EL SERENO MS",2
"ELA OCC CTR",1
"ELEMENTARY CDS",0
"ELIZABETH LC",3
"ELLINGTON HS",0
"ELYSIAN HTS ARTS MAG",1
"EMELITA ST EL",3
"EMERSON CC",0
"ENADIA WAY",1
"ENCINO CEL",3
"ERWIN EL",4
"ESCALANTE EEC",2
"ESCALANTE EL",3
"ESCUTIA PC",3
"ESHELMAN AVE EL",2
"ESPERANZA EL",6
"ESTRELLA EEC",0
"ESTRELLA EL",1
"EUCLID AVE EL",1
"EVANS CAS",0
"EVERGREEN AVE EEC",0
"EVERGREEN AVE EL",3
"EVERGREEN HS",0
"FAIR AVE EEC",0
"FAIR AVE EL",5
"FAIRBURN AVE EL",2
"FAIRFAX SH",7
"FARMDALE EL",2
"FERNANGELES EL",3
"FIGUEROA ST EL",2
"FISHBURN AVE EL",1
"FLEMING MS",7
"FLETCHER DR EL",0
"FLORENCE AVE EL",4
"FLOURNOY EL",3
"FORD BLVD EL",7
"FOSHAY LC",1
"FRANKLIN AVE EL",0
"FRANKLIN HS",4
"FREMONT SH",3
"FRIEDMAN OCC CTR",2
"FRIES AVE EL",0
"FROST MS",8
"FULLBRIGHT AVE EL",1
"FULTON COLLEGE PREP",4
"GAGE MS",7
"GAL KING SCH FOR STEM",0
"GARCETTI LA",1
"GARDEN GROVE EL",1
"GARDENA EEC",4
"GARDENA EL",0
"GARDENA SH",8
"GARDNER ST EL",2
"GARFIELD SH",8
"GARVANZA EL T/L MAG",0
"GARZA PC",1
"GATES ST EEC",0
"GATES ST EL",0
"GAULT ST EL",1
"GERMAIN ACAD AA",5
"GLASSELL PARK EEC",0
"GLASSELL PK STEAM MAG",1
"GLEDHILL ST EEC",1
"GLEDHILL ST EL",2
"GLEN ALTA EL",1
"GLENFELIZ BLVD EEC",0
"GLENFELIZ BLVD EL",1
"GLENWOOD EL",4
"GOMPERS MS",6
"GOMPERS MS UP MED MAG",1
"GRAHAM EEC",0
"GRAHAM EL",3
"GRANADA EL",6
"GRANADA HILLS CHT",0
"GRAND VW BL EL",1
"GRANT EEC",0
"GRANT EL",9
"GRANT SH",9
"GRAPE ST EL",1
"GRATTS EEC",0
"GRATTS LA FOR YS",1
"GREY HS",0
"GRIDLEY ST EL",4
"GRIFFIN AVE EL",0
"GRIFFITH JOYNER EL",4
"GRIFFITH MS STEAM MG",1
"GULF AVE EL",6
"HADDON AVE EEC",0
"HADDON AVE EL",3
"HALE CA",1
"HALLDALE EL",15
"HAMASAKI MED/SCI MAG",0
"HAMILTON SH",7
"HAMLIN CA",6
"HANCOCK PARK EL",0
"HARBOR CITY EL",2
"HARBOR OCC CTR",0
"HARDING ST EL",0
"HARMONY EL",1
"HARRISON ST EL",3
"HART ST EL",2
"HARTE PREP MS",1
"HARVARD EL",1
"HASKELL EL STEAM MAG",3
"HAWAIIAN AVE EEC",2
"HAWAIIAN AVE EL",2
"HAWKINS SH C/DAGS",7
"HAWKINS SH CHAS",0
"HAWKINS SH RISE",0
"HAYNES CES",2
"HAZELTINE AVE EL",1
"HELIOTROPE AVE EL",2
"HENRY MS",8
"HERRICK AVE EL",1
"HESBY OAKS LEAD CHTR",0
"HIGHLAND PARK HS",0
"HILLCREST DR EL",6
"HILLSIDE EL",0
"HOBART BLVD EEC",2
"HOBART BLVD EL",3
"HOLLENBECK MS",4
"HOLLYWOOD EL",1
"HOLLYWOOD SH",6
"HOLMES AVE EEC",0
"HOLMES AVE EL",0
"HOLMES MS",5
"HOOPER AVE EEC",1
"HOOPER AVE EL",3
"HOOPER AVE PC",2
"HOOVER ST EL",3
"HOPE HS",0
"HOPE ST EL",3
"HUBBARD ST EL",7
"HUERTA EL",1
"HUGHES EL",1
"HUMPHREYS AVE EL",2
"HUNTINGTON DR EL",1
"HUNTNGTN PK EL",3
"HUNTNGTN PK SH",4
"HYDE PARK EEC",0
"INDEPENDENCE EL",2
"INDEPENDENCE HS",0
"INTERNATIONAL ST LC",5
"IRVING MS MME MAG",4
"ISAACS AVALON HS",0
"IVANHOE EL",2
"JEFFERSON SH",3
"JOHNSON STEM ACADEMY",1
"JONES EL",3
"JONES PC",0
"JORDAN SH",3
"JUSTICE ST ACAD CHTR",3
"KAHLO HS",2
"KENNEDY EL",0
"KENNEDY SH",14
"KENTER CANYON EC",0
"KENTWOOD EEC",0
"KENTWOOD EL",1
"KESTER AVE EL",2
"KIM ACADEMY",2
"KIM EL",4
"KING JR EL",1
"KING MS MAG FLM/MDIA",5
"KING-DREW SH MD/S MG",6
"KINGSLEY EL",1
"KITTRIDGE ST EL",2
"KNOLLWOOD PREP ACAD",0
"KNOX EL",2
"KORENSTEIN EL",0
"LA SALLE AVE EL",1
"LACES MAG",4
"LAFAYETTE PARK PC",0
"LAKE BALBOA CP K-12",3
"LAKE ST PRIMARY",0
"LANAI RD EL",1
"LANE EL",1
"LANGDON AVE EL",2
"LANKERSHIM EL",5
"LASSEN EL",3
"LATONA AVE EL",1
"LAUREL CACT MAG",0
"LAUREL EEC",0
"LAWRENCE MS",3
"LAWSON ACAD A/M/S EL",3
"LE CONTE MS",1
"LEAPWOOD EL",4
"LEE EL MED HLTH MAG",2
"LEGACY SH STEAM",4
"LEGACY SH VAPA",0
"LEICHMAN CPTC",0
"LELAND ST EL",1
"LEMAY ST EEC",0
"LEMAY ST EL",0
"LEWIS HS",1
"LEXINGTON AVE PC",1
"LIBERTY BLVD EL",3
"LIECHTY MS",2
"LIGGETT ST EL",1
"LILLIAN ST EL",0
"LIMERICK AVE EL",4
"LINCOLN SH",1
"LIZARRAGA EL",5
"LOCKE EEC",0
"LOCKE INFANT",0
"LOCKHURST DR CEL",2
"LOCKWOOD AVE EL",1
"LOGAN ACADEMY",1
"LOGAN ST EEC",0
"LOKRANTZ SP ED CTR",0
"LOMA VISTA EL",2
"LOMITA EL M/S/T MAG",7
"LONDON HS",1
"LORENA ST EL",3
"LORETO ST EL",0
"LORNE ST EL",3
"LOS ANGELES ACAD MS",4
"LOS ANGELES EL",0
"LOS ANGELES SH",0
"LOS ANGELES TECH CTR",1
"LOS FELIZ STEMM MAG",4
"LOWMAN SP ED & CTC",1
"LOYOLA VILLG EL F/PAM",2
"MACARTHUR PK EL VAPA",2
"MACES MAG",6
"MACK EL",1
"MACLAY MS",1
"MADISON EL",5
"MADISON MS",6
"MAGNOLIA AVE EL",1
"MAGNOLIA SCI ACAD #2",0
"MAGNOLIA SCI ACAD #4",0
"MAGNOLIA SCI-BELL@SR",0
"MAIN ST EL",1
"MALABAR ST EL",2
"MANCHESTER AVE EL",5
"MANHATTAN PLACE EL",2
"MANN UCLA COMM SCH",3
"MANUAL ARTS SH",8
"MAPLE PC",0
"MAR VISTA EL",1
"MARIANNA AVE EL",1
"MARINA DEL REY MS",0
"MARINA EEC",0
"MARIPOSA-NABI PC",1
"MARK TWAIN MS",2
"MARKHAM MS",5
"MARLTON SCHOOL",0
"MARQUEZ CHARTER",1
"MARQUEZ SH HPIAM",1
"MARQUEZ SH LIBRA",5
"MARQUEZ SH SOC JUS",1
"MARSHALL SH",4
"MARVIN EEC",0
"MARVIN EL",2
"MAYALL ST AC A/T MAG",9
"MAYBERRY ST EL",2
"MAYWOOD ACADEMY SH",1
"MAYWOOD EL",2
"MCALISTER HS CYESIS",0
"MCAULIFFE EEC",0
"MCBRIDE SP ED CTR",0
"MCKINLEY AVE EL",1
"MELROSE AVE EL M/S MG",0
"MELVIN AVE EL",0
"MENDEZ SH",3
"MENLO AVE EL",2
"MERIDIAN EEC",0
"METROPOLITAN HS",0
"MEYLER ST EL",1
"MICHELTORENA ST EL",1
"MID-CITY PSES MAG",0
"MIDDLE COLLEGE HS",1
"MIDDLETON ST EL",1
"MIDDLETON ST PC",0
"MIKES EEC",0
"MILES AVE EEC",0
"MILES AVE EL",0
"MILLER CTC",1
"MILLER EL",10
"MILLIKAN MS AC & PAM",9
"MIRAMONTE EEC",0
"MIRAMONTE EL",5
"MISSION HS",0
"MONETA HS",0
"MONLUX EL",5
"MONROE SH",9
"MONTARA AVE EL",3
"MONTE VISTA EEC",2
"MONTE VISTA ST EL",0
"MONTEREY HS",0
"MOORE M/S/T ACAD",0
"MORNINGSIDE EL",1
"MOSK EL",1
"MOUNT GLEASON MS",2
"MOUNTAIN VIEW EL",4
"MT LUKENS HS",0
"MT WASHINGTON EL",0
"MUIR MS",3
"MULHOLLAND MS",6
"MULTNOMAH ST EL",1
"MURCHISON EEC",0
"MURCHISON ST EL",0
"NAPA ST EL",5
"NARBONNE SH",2
"NARBONNE SH HARTS LA",1
"NAVA COLLEGE PREP",3
"NAVA LEARNING ACADEMY",0
"NESTLE AVE CHARTER",1
"NEVADA AVE EL",3
"NEVIN AVE EL",2
"NEW ACAD CANOGA PARK",0
"NEWCASTLE EL",0
"NEWMARK HS",0
"NIGHTINGALE MS",3
"NIMITZ MS",4
"NO HOLLYWD SH",10
"NOBEL CMS",6
"NOBLE AVE EEC",1
"NOBLE AVE EL",7
"NORMANDIE AVE EEC",0
"NORMANDIE AVE EL",0
"NORMONT EEC",1
"NORMONT EL",5
"NORTH VALLEY OCC CTR",2
"NORTHRIDGE ACAD SH",4
"NORTHRIDGE EEC",0
"NORTHRIDGE MS",2
"NORWOOD ST EL",0
"NUEVA VISTA EL",3
"OBAMA EL",1
"OBAMA GLBL PREP ACAD",4
"OCHOA LC",2
"ODYSSEY HS",0
"OLIVE VISTA MS",9
"OLYMPIC PC",0
"O'MELVENY EL",0
"OPEN CHARTER MAG",1
"ORCHARD ACADEMIES 2B",0
"ORCHARD ACADEMIES 2C",1
"ORTHOPAEDIC HSP SH MG",4
"OSCEOLA ST EL",1
"OVERLAND AVE EL",0
"OWENSMOUTH HS",0
"OXNARD ST EL",1
"PACIFIC BLVD SCHOOL",0
"PACOIMA EEC",1
"PACOIMA MS",3
"PALISADES CEL",1
"PALISADES CHS",0
"PALMS EL",1
"PALMS MS",6
"PANORAMA CITY EL",2
"PANORAMA SH",3
"PARK AVE EL",2
"PARK WESTERN EEC",0
"PARK WSTN PL EL",4
"PARKS LC",1
"PARKS/HUERTA EEC",0
"PARMELEE AVE EL",9
"PARTHENIA AC ART TEC",3
"PASEO DEL REY EL MAG",1
"PATTON HS",0
"PEARL SH JRNLS/CMM MG",0
"PEARY MS",3
"PEREZ SP ED CTR",0
"PHOENIX HS",0
"PINEWOOD AVE EEC",0
"PINEWOOD AVE EL",0
"PIO PICO MS",1
"PLAINVIEW ACADEMC CA",3
"PLASENCIA EL",5
"PLAYA DEL REY EL",0
"PLAYA VISTA EL",1
"PLUMMER EL",4
"POINDEXTER LAMOTTE EL",0
"POLITI EL",3
"POLYTECHNIC SH",13
"POMELO COMMUNITY CS",3
"PORTER MS",5
"PORTER RANCH SCHOOL",3
"PORTOLA CM",9
"PRESIDENT AVE EL",0
"PRIMARY ACADEMY",2
"PT FERMIN EL MR/S MG",5
"PUEBLO DE LA HS",0
"PURCHE AVE EL",0
"QUEEN ANNE PL EL",0
"RAMONA EL",1
"RAMONA HS",0
"RAMONA INFANT",2
"RANCHITO AVE EL",2
"RANCHO DOMNGZ PREP",4
"RAYMOND AVE EL",4
"REED MS",10
"REGIONAL SH IDTE MAG",0
"RESEDA CHARTER HS",9
"RESEDA EL",2
"REVERE CMS",7
"RFK AMBSDR GLBL EDU",0
"RFK AMBSDR GLBL LDSH",1
"RFK LA SH ARTS",2
"RFK NEW OPEN WLD",0
"RFK SCH VIS ARTS/HUM",2
"RFK UCLA COMM SCH",1
"RICHLAND AVE EL",0
"RIDE EL SMART ACAD",3
"RILEY HS CYESIS",0
"RIO VISTA EL",0
"RIORDAN PC",1
"RITTER EL",4
"RIVERA LC COM & TECH",0
"RIVERA LC GD STEAM AC",3
"RIVERA LC PERF ARTS",1
"RIVERA LC PUB SRV",6
"RIVERSIDE DR CS",3
"ROBERTI EEC",0
"ROCKDALE VAPA MAG",3
"RODIA HS",2
"ROGERS HS",1
"ROMER MS",1
"ROOSEVELT INFANT",0
"ROOSEVELT SH",5
"ROOSEVELT SH STM MAG",1
"ROSCOE EL",1
"ROSCOMARE RD EL",0
"ROSEMONT AVE EEC",0
"ROSEMONT AVE EL",0
"ROSEWOOD UP/UD MAG",0
"ROWAN AVE EL",3
"ROYBAL LC",0
"ROYBAL-ALLARD EL",1
"RUSSELL EL",4
"SALVIN SP ED CTR",0
"SAN ANTONIO EL",4
"SAN ANTONIO HS",0
"SAN FERNANDO EEC",0
"SAN FERNANDO EL",6
"SAN FERNANDO MS",2
"SAN FERNANDO MS IAM",0
"SAN FERNANDO SH",4
"SAN GABRIEL AVE EL",0
"SAN JOSE ST EL",2
"SAN MIGUEL EL",9
"SAN PASCUAL STEAM MG",0
"SAN PEDRO SH",19
"SAN PEDRO ST EL",4
"SANTA MONICA BLVD CO",0
"SANTANA ART AC",8
"SANTEE EC",7
"SATICOY EL",2
"SATURN ST EL",0
"SCIENCE AC STEM MAG",2
"SECONDARY CDS",0
"SELMA AVE EL",0
"SENDAK EL",3
"SEPULVEDA MS",5
"SERRANIA AVE CES",8
"SHARP AVE EL",1
"SHENANDOAH ST EEC",0
"SHENANDOAH ST EL",1
"SHERIDAN ST EL",1
"SHERMAN OAKS EL CS",1
"SHIRLEY AVE EL",2
"SHORT AVE EL",0
"SIERRA PARK EL",6
"SIERRA VISTA EL",0
"SLAWSON OCC CTR",3
"SOCES MAG",3
"SOLANO AVE EL",1
"SOLIS LA",0
"SOTO ST EL",0
"SOTOMAYOR ART/SCI MAG",3
"SOUTH EAST SH",4
"SOUTH GATE MS",4
"SOUTH GATE SH",12
"SOUTH PARK EL",12
"SOUTH SHORES EL PA MG",1
"SOUTHEAST MS",5
"STAGG ST EL",9
"STANFORD AVE EL",5
"STANFORD AVE PC",0
"STATE ST EEC",0
"STATE ST EL",1
"STERRY EL",0
"STEVENSON CCP",1
"STONEHURST STEAM MAG",2
"STONER AVE EL",0
"STONEY POINT HS",0
"STRATHERN ST EL",3
"SUN VALLEY MAG ET",2
"SUNLAND EL",2
"SUNNY BRAE AVE EL",9
"SUNRISE EL",2
"SUPERIOR ST EL",4
"SUTTER MS",6
"SYLMAR ACAD BH/E MAG",0
"SYLMAR CHS",5
"SYLMAR EL",4
"SYLMAR LDSHP ACAD",9
"SYLVAN PARK EEC",1
"SYLVAN PARK EL",0
"TAFT CHS",7
"TAPER AVE EL",2
"TARZANA EL",0
"TELFAIR AVE EEC",0
"TELFAIR AVE EL",2
"THOREAU HS",1
"TOLAND WAY EL",2
"TOLUCA LAKE EEC",0
"TOLUCA LAKE EL",7
"TOPANGA EL CS",0
"TOPEKA DR CAS",3
"TORRES ELA PA MAG",1
"TORRES ENG & TECH",0
"TORRES HS SJLA MAG",1
"TORRES HUM/ART/TECH",3
"TORRES RENAISSANCE",2
"TOWNE AVE EL",4
"TRINITY EEC",0
"TRINITY ST EL",0
"TULSA ST EL",6
"TWEEDY EL",1
"UNION AVE EL",2
"UNIVERSITY HS CHARTER",2
"UTAH ST EL",6
"VALERIO ST EL",2
"VALLEY ACAD ARTS/SCI",2
"VALLEY VIEW EL",0
"VAN DEENE AVE EL",3
"VAN GOGH CHTR",2
"VAN NESS AVE EL",0
"VAN NUYS EL",4
"VAN NUYS MS",3
"VAN NUYS SH",5
"VANALDEN AVE EEC",0
"VANALDEN AVE EL",0
"VAUGHN EEC",0
"VENA AVE EL",4
"VENICE SH",4
"VENICE SKILLS CENTER",0
"VERDGO HLS SH",2
"VERMONT AVE EL",1
"VERNON CITY EL",1
"VICTORIA AVE EL",6
"VICTORY BLVD EL",2
"VIEW PARK CONTN HS",0
"VINE ST EEC",0
"VINE ST EL",0
"VINEDALE COLLEGE PRP",0
"VINTAGE EL M/S/T MAG",4
"VIRGIL MS",5
"VIRGINIA RD EL",1
"VISTA DEL VALLE ACAD",0
"VISTA MS",6
"VLADOVIC HARBOR TPA",1
"VOCES MAG",2
"WADSWORTH AVE EEC",0
"WADSWORTH AVE EL",2
"WALGROVE AVE EL",2
"WALNUT PARK EL",0
"WALNUT PARK MS SJ/SL",0
"WALNUT PARK MS STEM",1
"WARNER AVE EL",2
"WASHINGTON PC",1
"WASHINGTON PREP SH",2
"WATERS EMP PREP CTR",2
"WEBSTER MS",4
"WEEMES EL",2
"WEIGAND AVE EL",0
"WELBY WAY CEL",0
"WESM HLTH/SPORTS MED",8
"WEST ADAMS PREP SH",3
"WEST ATHENS EL",1
"WEST HOLLYWOOD EL",1
"WEST VALLEY OCC CTR",1
"WEST VERNON AVE EL",0
"WESTERN AV TECH MAG",2
"WESTMINSTER AVE EEC",0
"WESTMINSTER MTES MAG",3
"WESTPORT HTS EL",2
"WESTSIDE GLBL AWR MAG",1
"WESTWOOD CEL",3
"WHITE EL",2
"WHITE MS",11
"WHITE POINT EL",3
"WHITMAN HS",1
"WIDNEY CPTC",2
"WILBUR CEA",3
"WILLENBERG SP ED CTR",0
"WILLOW EL",5
"WILMINGTON EEC",0
"WILMINGTON PARK EL",7
"WILMINGTON STEAM MAG",8
"WILSHIRE CREST EL",0
