Community of Schools,Staff and Student Case Rate
"Fremont Community of Schools",19.590717265135872
"Achievement Network Community of Schools",35.288744966164323
"MacArthur Park Community of Schools",9.61461421360468
"Gardena Community of Schools",15.802781289506953
"San Pedro Community of Schools",21.159542953872197
"Boyle Heights Community of Schools",12.185710223810878
"Jefferson/South Central (West) Community of Schools",20.4339203077108
"Carson Community of Schools",21.578147221813545
"Manual Arts/Vermont Square Community of Schools",21.840084601590878
"LA Mid-City Community of Schools",13.698213144196524
"Fairfax Community of Schools",11.496014714898834
"H.E.E.T. (C/D) Community of Schools",19.462826002335539
"Historic Central Avenue Community of Schools",29.951251755763032
"East Los Angeles Community of Schools",8.28013347575163
"South Mid-City Community of Schools",8.61017435603071
"Rivera Community of Schools",21.446305873813234
"H.E.E.T. (W) Community of Schools",25.195263290501384
"Reseda Community of Schools",22.18278615794144
"Kennedy/NAHS/VAAS Community of Schools",24.731814387733017
"Canoga Park/Chatsworth Community of Schools",20.528728815492347
"Lincoln Heights/El Sereno Community of Schools",5.6404760561791409
"Eagle Rock/Highland Park Community of Schools",16.542049890822472
"Downtown Community of Schools",9.8779524102203879
"Glassell Park/Los Feliz Community of Schools",13.902851153936647
"Monroe Community of Schools",13.896609227348526
"Cleveland Community of Schools",24.85682468978683
"Sunland/Tujunga Community of Schools",18.185124568103291
"Sun Valley Community of Schools",28.101508894908164
"Hamilton Community of Schools",20.848970060878994
"Hollywood Community of Schools",23.869196801527629
"Wilmington Community of Schools",21.983658813615214
"Venice Community of Schools",23.676602532150334
"Bell/Cudahy/Maywood Community of Schools",18.101114399043002
"North Hollywood/Valley Village Community of Schools",24.645717806531113
"Kreatwn/PcoUnion Community of Schools",14.943215780035862
" Community of Schools",0
"West LA Community of Schools",10.960345470089218
"San Fernando Valley/Sylmar Community of Schools",23.246083035008603
"South Gate Community of Schools",7.089332681114727
"Panorama City Community of Schools",15.614509001764441
"Taft Community of Schools",28.915198149427319
"Van Nuys/Valley Glen Community of Schools",18.641365833590452
"Harbor City/Lomita Community of Schools",20.327269031405628
"Westchester Community of Schools",22.238901398270922
"Huntington Park/Vernon Community of Schools",18.346022665677093
