date,school,community,inschool
2021-08-18,"102ND ST EEC",0,0
2021-08-18,"107TH ST CSPP",0,0
2021-08-18,"107TH ST EL STEAM MAG",0,0
2021-08-18,"107TH ST EL",2,0
2021-08-18,"109TH ST EL",0,0
2021-08-18,"10TH ST EL",1,0
2021-08-18,"112TH ST EEC",0,0
2021-08-18,"112TH ST EL",0,0
2021-08-18,"116TH ST EL DTS",0,0
2021-08-18,"116TH ST EL",2,0
2021-08-18,"118TH ST EL DTS",0,0
2021-08-18,"118TH ST EL",2,0
2021-08-18,"122ND ST EL DTS",0,0
2021-08-18,"122ND ST EL",2,0
2021-08-18,"135TH ST EL DTS",0,0
2021-08-18,"135TH ST EL",1,0
2021-08-18,"153RD ST EL DTS",0,0
2021-08-18,"153RD ST EL",1,0
2021-08-18,"156TH ST EL",5,0
2021-08-18,"15TH ST EL",2,0
2021-08-18,"186TH ST CSPP",0,0
2021-08-18,"186TH ST EL",2,0
2021-08-18,"1ST ST EL",1,0
2021-08-18,"1ST ST SPS",0,0
2021-08-18,"20TH ST EL DTS",0,0
2021-08-18,"20TH ST EL",0,0
2021-08-18,"232ND PL EL",1,0
2021-08-18,"232ND PL STEMM MAG",0,0
2021-08-18,"24TH ST EEC",0,0
2021-08-18,"24TH ST EL",0,0
2021-08-18,"28TH ST EEC",0,0
2021-08-18,"28TH ST EL DOS",0,0
2021-08-18,"28TH ST EL",1,0
2021-08-18,"2ND ST EL DTS",0,0
2021-08-18,"2ND ST EL",1,0
2021-08-18,"32ND ST USC PA MAG",0,0
2021-08-18,"36TH ST EEC",0,0
2021-08-18,"37TH ST EEC",0,0
2021-08-18,"3RD ST EL DTK",0,0
2021-08-18,"3RD ST EL GIFTED MAG",0,0
2021-08-18,"3RD ST EL",0,0
2021-08-18,"42ND ST EL DWS",0,0
2021-08-18,"42ND ST EL",2,0
2021-08-18,"49TH ST EL",0,0
2021-08-18,"4TH ST EEC",0,0
2021-08-18,"4TH ST EL",2,0
2021-08-18,"4TH ST PC DTS",0,0
2021-08-18,"4TH ST PC",0,0
2021-08-18,"52ND ST EL",0,0
2021-08-18,"54TH ST EL",0,0
2021-08-18,"59TH ST EL",0,0
2021-08-18,"61ST ST CSPP",0,0
2021-08-18,"61ST ST EL DTS",0,0
2021-08-18,"61ST ST EL",0,0
2021-08-18,"66TH ST EEC",0,0
2021-08-18,"66TH ST EL",0,0
2021-08-18,"6TH AVE EL DTS",0,0
2021-08-18,"6TH AVE EL",3,0
2021-08-18,"74TH ST EL GIFTED MG",0,0
2021-08-18,"74TH ST EL",2,0
2021-08-18,"75TH ST EEC",0,0
2021-08-18,"75TH ST EL DTS",0,0
2021-08-18,"75TH ST EL",4,0
2021-08-18,"7TH ST EL AI MAG",0,0
2021-08-18,"92ND ST EL",3,0
2021-08-18,"93RD ST EL DTS",0,0
2021-08-18,"93RD ST EL STEAM MAG",0,0
2021-08-18,"93RD ST EL",0,0
2021-08-18,"95TH ST EEC",0,0
2021-08-18,"95TH ST EL",1,0
2021-08-18,"96TH ST EL DTS",0,0
2021-08-18,"96TH ST EL",0,0
2021-08-18,"97TH ST EEC",0,0
2021-08-18,"99TH ST CSPP",0,0
2021-08-18,"99TH ST EL",4,0
2021-08-18,"9TH ST EL",1,0
2021-08-18,"ACAD ENRICH SCI MAG",0,0
2021-08-18,"ADAMS MS GIFTED MAG",0,0
2021-08-18,"ADAMS MS",0,0
2021-08-18,"ADDAMS HS",1,0
2021-08-18,"AGGELER HS",0,0
2021-08-18,"ALBION ST EEC",0,0
2021-08-18,"ALBION ST EL",1,0
2021-08-18,"ALDAMA EL DTS",0,0
2021-08-18,"ALDAMA EL",0,0
