"School name","Cases among staff and students"
"Unassigned",39
"102ND ST EEC",0
"107TH ST EL",6
"109TH ST EL",0
"10TH ST EL",2
"112TH ST EEC",2
"112TH ST EL",4
"116TH ST EL",0
"118TH ST EL",1
"122ND ST EL",2
"135TH ST EL",7
"153RD ST EL",0
"156TH ST EL",1
"15TH ST EL",0
"186TH ST EL",2
"1ST ST EL",1
"20TH ST EL",1
"232ND PL EL",1
"24TH ST EEC",0
"24TH ST EL",1
"28TH ST EEC",0
"28TH ST EL",1
"2ND ST EL",0
"32ND ST USC PA MAG",2
"36TH ST EEC",0
"37TH ST EEC",0
"3RD ST EL",1
"42ND ST EL",0
"49TH ST EL",4
"4TH ST EEC",0
"4TH ST EL",1
"4TH ST PC",1
"52ND ST EL",5
"54TH ST EL",1
"59TH ST EL",0
"61ST ST EL",2
"66TH ST EEC",0
"66TH ST EL",2
"6TH AVE EL",1
"74TH ST EL",2
"75TH ST EEC",2
"75TH ST EL",4
"7TH ST EL AI MAG",3
"92ND ST EL",3
"93RD ST EL",3
"95TH ST EEC",0
"95TH ST EL",1
"96TH ST EL",0
"97TH ST EEC",0
"99TH ST EL",2
"9TH ST EL",1
"ACAD ENRICH SCI MAG",1
"ADAMS MS",1
"ADDAMS HS",0
"AGGELER HS",1
"ALBION ST EEC",0
"ALBION ST EL",0
"ALDAMA EL",0
"ALEXANDER SCS",2
"ALEXANDRIA AVE EEC",0
"ALEXANDRIA AVE EL",1
"ALLESANDRO EL",1
"ALTA CALIFORNIA EL",2
"ALTA LOMA EL",0
"AMANECER PC",0
"AMBLER AVE EL",4
"AMESTOY EL",2
"ANATOLA AVE EL",0
"ANDASOL AVE EL",5
"ANGELES MESA EL",0
"ANGELOU COMMUNITY SH",5
"ANGEL'S GATE HS",0
"ANN ST EL",0
"ANNALEE AVE EL",0
"ANNANDALE EL",0
"ANTON EEC",0
"ANTON EL",1
"APPERSON ST EL",2
"ARAGON AVE EL",0
"ARLETA SH",1
"ARLINGTON HTS EL",0
"ARMINTA ST EEC",0
"ARMINTA ST EL",0
"ARROYO SECO MUS/S MAG",0
"ASCOT AVE EL",1
"ATWATER AVE EL",1
"AUDUBON MS",1
"AURORA EL",0
"AVALON GARDENS EL",1
"BACA ARTS ACAD",1
"BAKEWELL PC",0
"BALA",0
"BALBOA EL G/HG/HA MAG",1
"BALDWIN HILLS EL",2
"BANCROFT MS",3
"BANDINI ST EL",1
"BANNEKER CTC",1
"BANNING SH",2
"BARRETT EL",2
"BARTON HILL EL",0
"BASSETT ST EL",1
"BEACHY AVE EL",0
"BECKFORD CES",0
"BEETHOVEN ST EL",1
"BELL SH",5
"BELLINGHAM EL",4
"BELMONT SH",1
"BELVEDERE EL",1
"BELVEDERE MS",2
"BERENDO MS",0
"BERNSTEIN SH",2
"BERNSTEIN SH STEM",2
"BERTRAND AVE EL",3
"BETHUNE MS",2
"BLYTHE ST EL",2
"BONITA ST EL",2
"BOYLE HEIGHTS HS",0
"BOYLE HTS STEM MAG",0
"BRADDOCK DR EL",1
"BRADLEY EEC",0
"BRADLEY GLBL AWR MAG",0
"BRAINARD EL",0
"BRAVO SH MEDICAL MAG",2
"BREED ST EL",2
"BRENTWOOD EL SCI MAG",1
"BRIDGE ST EL",1
"BRIDGES SCHOOL",6
"BRIGHT EL",0
"BROAD AVE EL",4
"BROADACRES AV EL",2
