"School name","Cases from school-based transmission"
"Unassigned",0
"102ND STREET EARLY EDUCATION CENTER",0
"107TH STREET ELEMENTARY",0
"109TH STREET ELEMENTARY",0
"10TH STREET ELEMENTARY",0
"112TH STREET EARLY EDUCATION CENTER",0
"112TH STREET ELEMENTARY",0
"116TH STREET ELEMENTARY",0
"118TH STREET ELEMENTARY",0
"122ND STREET ELEMENTARY",0
"135TH STREET ELEMENTARY",0
"153RD STREET ELEMENTARY",0
"156TH STREET ELEMENTARY",0
"15TH STREET ELEMENTARY",0
"186TH STREET ELEMENTARY",0
"1ST STREET ELEMENTARY",0
"20TH STREET ELEMENTARY",0
"232ND PLACE ELEMENTARY",0
"24TH STREET EARLY EDUCATION CENTER",0
"24TH STREET ELEMENTARY",0
"28TH STREET EARLY EDUCATION CENTER",0
"28TH STREET ELEMENTARY",0
"2ND STREET ELEMENTARY",0
"32ND STREET USC PERFORMING ARTS MAGNET",0
"36TH STREET EARLY EDUCATION CENTER",0
"37TH STREET EDUCATION CENTER",0
"3RD STREET ELEMENTARY",0
"42ND STREET ELEMENTARY",0
"49TH STREET ELEMENTARY",0
"4TH STREET EARLY EDUCATION CENTER",0
"4TH STREET ELEMENTARY",0
"4TH STREET PRIMARY CENTER",0
"52ND STREET ELEMENTARY",0
"54TH STREET ELEMENTARY",0
"59TH STREET ELEMENTARY",0
"61ST STREET ELEMENTARY",0
"66TH STREET EARLY EDUCATION CENTER",0
"66TH STREET ELEMENTARY",0
"6TH AVENUE ELEMENTARY",0
"74TH STREET ELEMENTARY",0
"75TH STREET EARLY EDUCATION CENTER",0
"75TH STREET ELEMENTARY",0
"7TH STREET ELEMENTARY ARTS INTEGRATION MAGNET",0
"92ND STREET ELEMENTARY",0
"93RD STREET ELEMENTARY",0
"95TH STREET EARLY EDUCATION CENTER",0
"95TH STREET ELEMENTARY",0
"96TH STREET ELEMENTARY",0
"97TH STREET EARLY EDUCATION CENTER",0
"99TH STREET ELEMENTARY",0
"9TH STREET ELEMENTARY",0
"ACADEMY FOR ENRICHED SCIENCES ELEMENTARY MAGNET",0
"ADULT EDUCATION VIRTUAL ACADEMY",0
"AGGELER COMMUNITY DAY SCHOOL",0
"ALBERT EINSTEIN CONTINUATION HIGH SCHOOL",0
"ALBION STREET EARLY EDUCATION CENTER",0
"ALBION STREET ELEMENTARY",0
"ALDAMA ELEMENTARY",0
"ALEXANDER FLEMING MIDDLE SCHOOL",0
"ALEXANDER HAMILTON SENIOR HIGH",0
"ALEXANDRIA AVENUE EARLY EDUCATION CENTER",0
"ALEXANDRIA AVENUE ELEMENTARY",0
"ALFONSO B PEREZ SPECIAL EDUCATION CENTER",0
"ALFRED B NOBEL CHARTER MIDDLE SCHOOL",0
"ALLESANDRO ELEMENTARY",0
"ALTA CALIFORNIA ELEMENTARY",0
"ALTA LOMA ELEMENTARY",0
"AMANECER PRIMARY CENTER",0
"AMBLER AVENUE ELEMENTARY",0
"AMELIA EARHART CONTINUATION HIGH SCHOOL",0
"AMESTOY ELEMENTARY",0
"ANATOLA AVENUE ELEMENTARY",0
"ANDASOL AVENUE ELEMENTARY",0
"ANDRES & MARIA CARDENAS ELEMENTARY",0
"ANDREW CARNEGIE MIDDLE SCHOOL",0
"ANGELES MESA ELEMENTARY",0
"ANGEL'S GATE CONTINUATION HIGH",0
"ANN STREET ELEMENTARY",0
"ANNALEE AVENUE ELEMENTARY",0
"ANNANDALE ELEMENTARY",0
"APPERSON STREET ELEMENTARY",0
"ARAGON AVENUE ELEMENTARY",0
"ARLETA SENIOR HIGH",0
"ARLINGTON HEIGHTS ELEMENTARY",0
"ARMINTA STREET EARLY EDUCATION CENTER",0
"ARMINTA STREET ELEMENTARY",0
"ARROYO SECO MUSEUM SCIENCE MAGNET",0
"ASCOT AVENUE ELEMENTARY",0
"ATWATER AVENUE ELEMENTARY",0
"AUDUBON MIDDLE SCHOOL",0
"AUGUSTUS F HAWKINS SH - COMMUNITY HEALTH ADVOCATES SCHOOL",0
"AUGUSTUS F HAWKINS SH - RESPONSIBLE INDIGENOUS SOC ENTRPRENR",0
"AUGUSTUS F HAWKINS SH CRITICAL DESIGN/GAMING MAGNET",0
"AURORA ELEMENTARY",0
"AVALON GARDENS ELEMENTARY",0
"BALBOA ELEMENTARY GIFTED/HIGHLY GIFTED/HIGH ABILITY MAGNET",0
"BALDWIN HILLS ELEMENTARY",0
"BANDINI STREET ELEMENTARY",0
"BARACK OBAMA GLOBAL PREPARATION ACADEMY",0
"BARTON HILL ELEMENTARY",0
"BASSETT STREET ELEMENTARY",0
"BEACHY AVENUE ELEMENTARY",0
"BECKFORD CHARTER FOR ENRICHED STUDIES",0
"BEETHOVEN STREET ELEMENTARY",0
"BELL SENIOR HIGH",0
"BELLINGHAM ELEMENTARY",0
"BELMONT SENIOR HIGH",0
"BELVEDERE ELEMENTARY",0
"BELVEDERE MIDDLE SCHOOL",0
"BENJAMIN BANNEKER CAREER AND TRANSITION CENTER",0
"BENJAMIN FRANKLIN HIGH SCHOOL",0
"BERENDO MIDDLE SCHOOL",0
"BERENECE CARLSON HOME HOSPITAL SCHOOL",0
"BERTRAND AVENUE ELEMENTARY",0
"BETTY PLASENCIA ELEMENTARY",0
"BILL CRUZ EARLY EDUCATION CENTER",0
"BIRDIELEE V BRIGHT ELEMENTARY",0
"BLYTHE STREET ELEMENTARY",0
"BONITA STREET ELEMENTARY",0
"BOYLE HEIGHTS CONTINUATION HIGH",0
"BOYLE HEIGHTS HS STEM MAGNET",0
"BOYS ACADEMIC LEADERSHIP ACADEMY",0
"BRADDOCK DRIVE ELEMENTARY",0
"BRAINARD ELEMENTARY",0
"BREED STREET ELEMENTARY",0
"BRENTWOOD ELEMENTARY SCIENCE MAGNET",0
"BRET HARTE PREPARATORY MIDDLE SCHOOL",0
"BRIDGE STREET ELEMENTARY",0
"BROAD AVENUE ELEMENTARY",0
"BROADACRES AVENUE ELEMENTARY",0
"BROADWAY ELEMENTARY",0
"BROCKTON AVENUE ELEMENTARY",0
"BROOKLYN AVENUE EARLY EDUCATION CENTER",0
"BROOKLYN AVENUE ELEMENTARY",0
"BRYSON AVENUE ELEMENTARY",0
"BUCHANAN STREET ELEMENTARY",0
"BUDLONG AVENUE ELEMENTARY",0
"BURBANK BOULEVARD ELEMENTARY",0
"BURTON STREET ELEMENTARY",0
"BUSHNELL WAY ELEMENTARY",0
"CABRILLO AVENUE EARLY EDUCATION CENTER",0
"CABRILLO AVENUE ELEMENTARY",0
"CAHUENGA ELEMENTARY",0
"CAL BURKE HIGH SCHOOL",0
"CALABASH CHARTER ACADEMY",0
"CALAHAN STREET ELEMENTARY",0
"CALVERT STATE PRESCHOOL",0
"CAMELLIA AVENUE ELEMENTARY",0
"CANFIELD AVENUE ELEMENTARY",0
"CANOGA PARK EARLY EDUCATION CENTER",0
"CANOGA PARK ELEMENTARY",0
"CANOGA PARK SENIOR HIGH",0
"CANTARA STREET ELEMENTARY",0
"CANTERBURY AVENUE ELEMENTARY",0
"CANYON CHARTER ELEMENTARY",0
"CAPISTRANO STATE PRESCHOOL",0
"CARLOS SANTANA ARTS ACADEMY",0
"CARMEN LOMAS GARZA PRIMARY CENTER",0
"CAROLDALE LEARNING COMMUNITY",0
"CARPENTER COMMUNITY CHARTER",0
"CARSON SENIOR HIGH",0
"CARSON SENIOR HIGH - ACADEMY OF EDUCATION AND EMPOWERMENT",0
"CARSON SENIOR HIGH - ACADEMY OF MEDICAL ARTS",0
"CARSON STREET ELEMENTARY",0
"CARSON-GORE ELEMENTARY DL TWO-WAY IM SPANISH",0
"CARTHAY ELEMENTARY OF ENVIRONMENTAL STUDIES MAGNET",0
"CASTELAR STREET EARLY EDUCATION CENTER",0
"CASTELAR STREET ELEMENTARY",0
"CASTLE HEIGHTS ELEMENTARY",0
"CASTLEBAY LANE CHARTER",0
"CATCH PREP CHARTER HIGH INC",0
"CATSKILL AVENUE ELEMENTARY",0
"CDS WEST HOLLYWOOD",0
"CENTRAL CONTINUATION HIGH",0
"CENTURY PARK ELEMENTARY",0
"CESAR CHAVEZ ELEMENTARY SCHOOL",0
"CESAR E CHAVEZ LEARNING ACADEMY - ACADEMY OF SCI EXPLORATION",0
"CESAR E CHAVEZ LEARNING ACADEMY - ARTS/THEATRE/ENTERTAIN MAG",0
"CESAR E CHAVEZ LEARNING ACADEMY - SOCIAL JST HUMANITAS ACAD",0
"CESAR E CHAVEZ LEARNING ACADEMY - TECHNOLOGY PREPARATORY ACA",0
"CHANDLER ELEMENTARY",0
"CHAPMAN ELEMENTARY",0
"CHARLES DREW MIDDLE SCHOOL",0
"CHARLES DREW MS UNIVERSITY PATHWAYS PUBLIC SERVICE ACADEMY",0
