"Community of Schools","Staff and Student Case Rate"
"- Community of Schools",0
"Achievement Network Community of Schools","35.907999924404216"
"Bell/Cudahy/Maywood Community of Schools","49.047446951313951"
"Boyle Heights Community of Schools","36.971708940221369"
"Canoga Park/Chatsworth Community of Schools","49.157617196228273"
"Carson Community of Schools","43.774728512501049"
"Cleveland Community of Schools","33.343877978506022"
"Downtown Community of Schools","35.743424375461366"
"Eagle Rock/Highland Park Community of Schools","48.495367416217867"
"East Los Angeles Community of Schools","49.127817480332496"
"Fairfax Community of Schools","45.628301714610181"
"Fremont Community of Schools","26.758867395728437"
"Gardena Community of Schools","37.012362128951068"
"Glassell Park/Los Feliz Community of Schools","42.56657968278644"
"H.E.E.T. (C/D) Community of Schools","19.74156496769562"
"H.E.E.T. (W) Community of Schools","20.440017838561023"
"Hamilton Community of Schools","37.728311769013956"
"Harbor City/Lomita Community of Schools","33.0988829127017"
"Historic Central Avenue Community of Schools","45.2108180445417"
"Hollywood Community of Schools","24.085894003538776"
"Huntington Park/Vernon Community of Schools","55.595206791630673"
"Kennedy/NAHS/VAAS Community of Schools","61.1891525953314"
"Kreatwn/PcoUnion Community of Schools","41.138278273623207"
"LA Mid-City Community of Schools","27.019060719198272"
"Lincoln Heights/El Sereno Community of Schools","37.482664267776151"
"MacArthur Park Community of Schools","23.126437372322794"
"Manual Arts/Vermont Square Community of Schools","48.281368962507656"
"Monroe Community of Schools","51.666236114699039"
"North Hollywood/Valley Village Community of Schools","66.544795355632218"
"Panorama City Community of Schools","56.8235628373899"
"Reseda Community of Schools","48.108573454195572"
"Rivera Community of Schools","39.491067838474351"
"San Fernando Valley/Sylmar Community of Schools","54.05091247239335"
"San Pedro Community of Schools","45.456423819166083"
"SO Los Angeles Community of Schools","39.512129183866577"
"South Gate Community of Schools","43.866645397990112"
"South Mid-City Community of Schools","15.921665406201488"
"Sun Valley Community of Schools","57.188042756887278"
"Sunland/Tujunga Community of Schools","48.44961240310078"
"Taft Community of Schools","56.833576748458555"
"Van Nuys/Valley Glen Community of Schools","47.520279978308388"
"Venice Community of Schools","62.095187145340951"
"West LA Community of Schools","51.769536305618779"
"Westchester Community of Schools","28.034108164934004"
"Wilmington Community of Schools","48.146880082170675"
"District Wide","44.240927321722019"
